elapsed.time,key_resp.keys,key_resp.rt,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,instrLoop.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,instrAXCPTLoop.thisRepN,instrAXCPTLoop.thisTrialN,instrAXCPTLoop.thisN,instrAXCPTLoop.thisIndex,instrAXCPTLoop.ran,AXCPT_resp.keys,AXCPT_resp.corr,AXCPT_resp.rt,AXCPTtrialsLoop.thisRepN,AXCPTtrialsLoop.thisTrialN,AXCPTtrialsLoop.thisN,AXCPTtrialsLoop.thisIndex,AXCPTtrialsLoop.ran,trialNumber,trial,cueType,probeType,trialType,corrResponse,break1.duration,restBreak1_key_resp.keys,restBreak1_key_resp.rt,key_resp_3.keys,key_resp_3.rt,instrNBackLoop.thisRepN,instrNBackLoop.thisTrialN,instrNBackLoop.thisN,instrNBackLoop.thisIndex,instrNBackLoop.ran,NBack_resp_1.keys,NBackTargetLoop.thisRepN,NBackTargetLoop.thisTrialN,NBackTargetLoop.thisN,NBackTargetLoop.thisIndex,NBackTargetLoop.ran,NBack_resp_2.keys,NBack_resp_2.corr,NBackTrialsLoop.thisRepN,NBackTrialsLoop.thisTrialN,NBackTrialsLoop.thisN,NBackTrialsLoop.thisIndex,NBackTrialsLoop.ran
8.092,right,7.986,0,0,0,0,1,Alastair,2024-01-20_09h48.15.427,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.281,right,16.121,1,0,1,0,1,Alastair,2024-01-20_09h48.15.427,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.917,right,7.593,2,0,2,0,1,Alastair,2024-01-20_09h48.15.427,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51.641,,,,,,,,Alastair,2024-01-20_09h48.15.427,Mental Fatigue Training Session,2020.2.4,MacIntel,60,right,19.659,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87.904,,,,,,,,Alastair,2024-01-20_09h48.15.427,Mental Fatigue Training Session,2020.2.4,MacIntel,60,right,36.206,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96.808,,,,,,,,Alastair,2024-01-20_09h48.15.427,Mental Fatigue Training Session,2020.2.4,MacIntel,60,right,8.847,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104.926,,,,,,,,Alastair,2024-01-20_09h48.15.427,Mental Fatigue Training Session,2020.2.4,MacIntel,60,k,8.101,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106.127,,,,,,,,Alastair,2024-01-20_09h48.15.427,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.627,0,0,0,5,1,6,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,
113.48,,,,,,,,Alastair,2024-01-20_09h48.15.427,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,d,1,0.667,0,1,1,8,1,9,AY,A,Y,cueWrong,d,,,,,,,,,,,,,,,,,,,,,,,
120.866,,,,,,,,Alastair,2024-01-20_09h48.15.427,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.517,0,2,2,0,1,1,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,
