elapsed.time,key_resp.keys,key_resp.rt,instrLoop.thisRepN,instrLoop.thisTrialN,instrLoop.thisN,instrLoop.thisIndex,instrLoop.ran,participant,date,expName,psychopyVersion,OS,frameRate,key_resp_2.keys,key_resp_2.rt,instrAXCPTLoop.thisRepN,instrAXCPTLoop.thisTrialN,instrAXCPTLoop.thisN,instrAXCPTLoop.thisIndex,instrAXCPTLoop.ran,AXCPT_resp.keys,AXCPT_resp.corr,AXCPT_resp.rt,AXCPTtrialsLoop.thisRepN,AXCPTtrialsLoop.thisTrialN,AXCPTtrialsLoop.thisN,AXCPTtrialsLoop.thisIndex,AXCPTtrialsLoop.ran,trialNumber,trial,cueType,probeType,trialType,corrResponse,break1.duration,restBreak1_key_resp.keys,restBreak1_key_resp.rt,key_resp_3.keys,key_resp_3.rt,instrNBackLoop.thisRepN,instrNBackLoop.thisTrialN,instrNBackLoop.thisN,instrNBackLoop.thisIndex,instrNBackLoop.ran,NBack_resp_1.keys,NBackTargetLoop.thisRepN,NBackTargetLoop.thisTrialN,NBackTargetLoop.thisN,NBackTargetLoop.thisIndex,NBackTargetLoop.ran,NBack_resp_2.keys,NBack_resp_2.corr,NBack_resp_2.rt,NBackTrialsLoop.thisRepN,NBackTrialsLoop.thisTrialN,NBackTrialsLoop.thisN,NBackTrialsLoop.thisIndex,NBackTrialsLoop.ran,break2.duration,restBreak2_key_resp.keys,restBreak2_key_resp.rt,key_resp_4.keys,key_resp_4.rt,instrSearchLoop.thisRepN,instrSearchLoop.thisTrialN,instrSearchLoop.thisN,instrSearchLoop.thisIndex,instrSearchLoop.ran,key_resp_6.keys,key_resp_6.corr,key_resp_6.rt,searchLoop.thisRepN,searchLoop.thisTrialN,searchLoop.thisN,searchLoop.thisIndex,searchLoop.ran,cond,targetLetter,break3.duration,restBreak3_key_resp.keys,restBreak3_key_resp.rt,key_resp_5.keys,key_resp_5.rt,instrMentRotaLoop.thisRepN,instrMentRotaLoop.thisTrialN,instrMentRotaLoop.thisN,instrMentRotaLoop.thisIndex,instrMentRotaLoop.ran,MROT_resp.keys,MROT_resp.corr,MROT_resp.rt,mentRotTrialsLooop.thisRepN,mentRotTrialsLooop.thisTrialN,mentRotTrialsLooop.thisN,mentRotTrialsLooop.thisIndex,mentRotTrialsLooop.ran,imagefile,orientation,end_resp.keys,end_resp.rt
17.088,right,16.971,0,0,0,0,1,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41.038,right,23.911,1,0,1,0,1,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.804,right,11.741,2,0,2,0,1,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.188,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,right,29.35,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124.82,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,right,42.598,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139.287,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,k,14.433,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140.504,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,d,1,0.715,0,0,0,9,1,10,BY,B,Y,bothWrong,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.937,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.48,0,1,1,2,1,3,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155.136,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.468,0,2,2,5,1,6,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162.32,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.517,0,3,3,4,1,5,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169.554,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.521,0,4,4,3,1,4,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176.786,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.586,0,5,5,1,1,2,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184.087,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,d,1,0.315,0,6,6,8,1,9,AY,A,Y,cueWrong,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191.12,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.366,0,7,7,0,1,1,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198.203,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.403,0,8,8,6,1,7,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205.319,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,d,1,0.585,0,9,9,7,1,8,BX,B,X,probeWrong,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212.619,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.533,1,0,10,5,1,6,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219.869,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.418,1,1,11,1,1,2,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227.003,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,d,1,0.596,1,2,12,7,1,8,BX,B,X,probeWrong,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234.319,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.43,1,3,13,4,1,5,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241.469,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.403,1,4,14,6,1,7,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248.586,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.517,1,5,15,0,1,1,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255.819,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.389,1,6,16,2,1,3,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262.918,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,d,1,0.281,1,7,17,9,1,10,BY,B,Y,bothWrong,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269.918,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,k,1,0.548,1,8,18,3,1,4,AX,A,X,target,k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277.185,,,,,,,,Leah Curtis,2024-01-24_16h43.57.575,Mental Fatigue Training Session,2020.2.4,MacIntel,60,,,,,,,,d,1,0.767,1,9,19,8,1,9,AY,A,Y,cueWrong,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
