imagefile,orientation,corrResponse
1_0.jpg,0,k
1_0_R.jpg,0,d
1_100.jpg,100,k
1_100_R.jpg,100,d
1_150.jpg,150,k
1_150_R.jpg,150,d
1_50.jpg,50,k
1_50_R.jpg,50,d
8_0.jpg,0,k
8_0_R.jpg,0,d
8_100.jpg,100,k
8_100_R.jpg,100,d
8_150.jpg,150,k
8_150_R.jpg,150,d
8_50.jpg,50,k
8_50_R.jpg,50,d
19_0.jpg,0,k
19_0_R.jpg,0,d
19_100.jpg,100,k
19_100_R.jpg,100,d
19_150.jpg,150,k
19_150_R.jpg,150,d
19_50.jpg,50,k
19_50_R.jpg,50,d
21_0.jpg,0,k
21_0_R.jpg,0,d
21_100.jpg,100,k
21_100_R.jpg,100,d
21_150.jpg,150,k
21_150_R.jpg,150,d
21_50.jpg,50,k
21_50_R.jpg,50,d
23_0.jpg,0,k
23_0_R.jpg,0,d
23_100.jpg,100,k
23_100_R.jpg,100,d
23_150.jpg,150,k
23_150_R.jpg,150,d
23_50.jpg,50,k
23_50_R.jpg,50,d
25_0.jpg,0,k
25_0_R.jpg,0,d
25_100.jpg,100,k
25_100_R.jpg,100,d
25_150.jpg,150,k
25_150_R.jpg,150,d
25_50.jpg,50,k
25_50_R.jpg,50,d
29_0.jpg,0,k
29_0_R.jpg,0,d
29_100.jpg,100,k
29_100_R.jpg,100,d
29_150.jpg,150,k
29_150_R.jpg,150,d
29_50.jpg,50,k
29_50_R.jpg,50,d
30_0.jpg,0,k
30_0_R.jpg,0,d
30_100.jpg,100,k
30_100_R.jpg,100,d
30_150.jpg,150,k
30_150_R.jpg,150,d
30_50.jpg,50,k
30_50_R.jpg,50,d
31_0.jpg,0,k
31_0_R.jpg,0,d
31_100.jpg,100,k
31_100_R.jpg,100,d
31_150.jpg,150,k
31_150_R.jpg,150,d
31_50.jpg,50,k
31_50_R.jpg,50,d
39_0.jpg,0,k
39_0_R.jpg,0,d
39_100.jpg,100,k
39_100_R.jpg,100,d
39_150.jpg,150,k
39_150_R.jpg,150,d
39_50.jpg,50,k
39_50_R.jpg,50,d
43_0.jpg,0,k
43_0_R.jpg,0,d
43_100.jpg,100,k
43_100_R.jpg,100,d
43_150.jpg,150,k
43_150_R.jpg,150,d
43_50.jpg,50,k
43_50_R.jpg,50,d
48_0.jpg,0,k
48_0_R.jpg,0,d
48_100.jpg,100,k
48_100_R.jpg,100,d
48_150.jpg,150,k
48_150_R.jpg,150,d
48_50.jpg,50,k
48_50_R.jpg,50,d
